"Statistic Label","Year","Type of Building and Construction","UNIT","VALUE"
"Volume of Production Index in Building and Construction","2014","Residential building","Base 2015=100","77.610323464"
"Volume of Production Index in Building and Construction","2014","Non-residential building","Base 2015=100","95.726133361"
"Volume of Production Index in Building and Construction","2014","Civil engineering","Base 2015=100","104.37998107"
"Volume of Production Index in Building and Construction","2015","All building and construction","Base 2015=100","99.984241362"
"Volume of Production Index in Building and Construction","2015","Building (excluding civil engineering)","Base 2015=100","99.984485143"
"Volume of Production Index in Building and Construction","2015","Residential building","Base 2015=100","99.981231225"
"Volume of Production Index in Building and Construction","2015","Non-residential building","Base 2015=100","99.984989271"
"Volume of Production Index in Building and Construction","2015","Civil engineering","Base 2015=100","99.983130806"
"Volume of Production Index in Building and Construction","2016","All building and construction","Base 2015=100","109.88260576"
"Volume of Production Index in Building and Construction","2016","Building (excluding civil engineering)","Base 2015=100","111.36608469"
"Volume of Production Index in Building and Construction","2016","Residential building","Base 2015=100","123.84549988"
"Volume of Production Index in Building and Construction","2016","Non-residential building","Base 2015=100","109.43265417"
"Volume of Production Index in Building and Construction","2016","Civil engineering","Base 2015=100","103.1245351"
"Volume of Production Index in Building and Construction","2017","All building and construction","Base 2015=100","124.16274471"
"Volume of Production Index in Building and Construction","2017","Building (excluding civil engineering)","Base 2015=100","127.96701944"
"Volume of Production Index in Building and Construction","2017","Residential building","Base 2015=100","144.08721329"
"Volume of Production Index in Building and Construction","2017","Non-residential building","Base 2015=100","125.46952462"
"Volume of Production Index in Building and Construction","2017","Civil engineering","Base 2015=100","106.8321598"
"Volume of Production Index in Building and Construction","2018","All building and construction","Base 2015=100","136.95882639"
"Volume of Production Index in Building and Construction","2018","Building (excluding civil engineering)","Base 2015=100","140.93418265"
"Volume of Production Index in Building and Construction","2018","Residential building","Base 2015=100","142.23268902"
"Volume of Production Index in Building and Construction","2018","Non-residential building","Base 2015=100","140.7330056"
"Volume of Production Index in Building and Construction","2018","Civil engineering","Base 2015=100","118.8488701"
"Volume of Production Index in Building and Construction","2019","All building and construction","Base 2015=100","144.75515318"
"Volume of Production Index in Building and Construction","2019","Building (excluding civil engineering)","Base 2015=100","151.73930025"
"Volume of Production Index in Building and Construction","2019","Residential building","Base 2015=100","160.93448207"
"Volume of Production Index in Building and Construction","2019","Non-residential building","Base 2015=100","150.31469461"
"Volume of Production Index in Building and Construction","2019","Civil engineering","Base 2015=100","112.93848323"
"Volume of Production Index in Building and Construction","2020","All building and construction","Base 2015=100","131.48305108"
"Volume of Production Index in Building and Construction","2020","Building (excluding civil engineering)","Base 2015=100","139.26332678"
"Volume of Production Index in Building and Construction","2020","Residential building","Base 2015=100","124.66838625"
"Volume of Production Index in Building and Construction","2020","Non-residential building","Base 2015=100","141.52451475"
"Volume of Production Index in Building and Construction","2020","Civil engineering","Base 2015=100","96.039572923"
"Volume of Production Index in Building and Construction","2021","All building and construction","Base 2015=100","127.48541282"
"Volume of Production Index in Building and Construction","2021","Building (excluding civil engineering)","Base 2015=100","131.56986841"
"Volume of Production Index in Building and Construction","2021","Residential building","Base 2015=100","111.36776648"
"Volume of Production Index in Building and Construction","2021","Non-residential building","Base 2015=100","134.69977153"
"Volume of Production Index in Building and Construction","2021","Civil engineering","Base 2015=100","108.87844847"
"Volume of Production Index in Building and Construction","2022","All building and construction","Base 2015=100","130.05029255"
"Volume of Production Index in Building and Construction","2022","Building (excluding civil engineering)","Base 2015=100","135.33841117"
"Volume of Production Index in Building and Construction","2022","Residential building","Base 2015=100","115.15883425"
"Volume of Production Index in Building and Construction","2022","Non-residential building","Base 2015=100","138.4648245"
"Volume of Production Index in Building and Construction","2022","Civil engineering","Base 2015=100","105.95997438"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2000","All building and construction","Base 2015=100","155.72678418"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2000","Building (excluding civil engineering)","Base 2015=100","199.70307605"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2000","Residential building","Base 2015=100","311.34748102"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2000","Non-residential building","Base 2015=100","121.40851769"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2000","Civil engineering","Base 2015=100","63.66405467"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2001","All building and construction","Base 2015=100","176.56008951"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2001","Building (excluding civil engineering)","Base 2015=100","222.74541798"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2001","Residential building","Base 2015=100","359.72407894"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2001","Non-residential building","Base 2015=100","126.22370415"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2001","Civil engineering","Base 2015=100","77.686536945"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2002","All building and construction","Base 2015=100","188.609384"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2002","Building (excluding civil engineering)","Base 2015=100","230.03597046"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2002","Residential building","Base 2015=100","391.33142814"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2002","Non-residential building","Base 2015=100","115.55654249"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2002","Civil engineering","Base 2015=100","94.857633196"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2003","All building and construction","Base 2015=100","210.95871193"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2003","Building (excluding civil engineering)","Base 2015=100","262.30713769"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2003","Residential building","Base 2015=100","480.66570078"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2003","Non-residential building","Base 2015=100","106.61579273"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2003","Civil engineering","Base 2015=100","98.573421203"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2004","All building and construction","Base 2015=100","252.84679806"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2004","Building (excluding civil engineering)","Base 2015=100","319.40769876"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2004","Residential building","Base 2015=100","605.50495184"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2004","Non-residential building","Base 2015=100","115.35948117"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2004","Civil engineering","Base 2015=100","106.97603851"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2005","All building and construction","Base 2015=100","290.32720777"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2005","Building (excluding civil engineering)","Base 2015=100","365.32716385"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2005","Residential building","Base 2015=100","696.54859423"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2005","Non-residential building","Base 2015=100","129.40470738"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2005","Civil engineering","Base 2015=100","125.24406178"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2006","All building and construction","Base 2015=100","318.96658362"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2006","Building (excluding civil engineering)","Base 2015=100","395.91144065"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2006","Residential building","Base 2015=100","748.07674235"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2006","Non-residential building","Base 2015=100","144.81352066"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2006","Civil engineering","Base 2015=100","149.28970043"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2007","All building and construction","Base 2015=100","289.53445472"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2007","Building (excluding civil engineering)","Base 2015=100","346.90052336"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2007","Residential building","Base 2015=100","619.179242"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2007","Non-residential building","Base 2015=100","153.5761568"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2007","Civil engineering","Base 2015=100","163.70496401"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2008","All building and construction","Base 2015=100","212.82359664"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2008","Building (excluding civil engineering)","Base 2015=100","237.83530086"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2008","Residential building","Base 2015=100","354.79094215"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2008","Non-residential building","Base 2015=100","154.71724732"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2008","Civil engineering","Base 2015=100","158.98527687"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2009","All building and construction","Base 2015=100","132.62064143"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2009","Building (excluding civil engineering)","Base 2015=100","131.18633899"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2009","Residential building","Base 2015=100","146.88864932"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2009","Non-residential building","Base 2015=100","118.84566724"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2009","Civil engineering","Base 2015=100","136.690921"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2010","All building and construction","Base 2015=100","93.905193137"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2010","Building (excluding civil engineering)","Base 2015=100","88.232257684"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2010","Residential building","Base 2015=100","92.313619847"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2010","Non-residential building","Base 2015=100","84.867082781"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2010","Civil engineering","Base 2015=100","107.39588754"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2011","All building and construction","Base 2015=100","76.014669816"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2011","Building (excluding civil engineering)","Base 2015=100","74.471114173"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2011","Residential building","Base 2015=100","65.703531447"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2011","Non-residential building","Base 2015=100","81.407973483"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2011","Civil engineering","Base 2015=100","79.709014786"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2012","All building and construction","Base 2015=100","74.878893883"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2012","Building (excluding civil engineering)","Base 2015=100","66.74947788"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2012","Residential building","Base 2015=100","58.124379215"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2012","Non-residential building","Base 2015=100","73.454639063"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2012","Civil engineering","Base 2015=100","93.704264307"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2013","All building and construction","Base 2015=100","83.830338611"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2013","Building (excluding civil engineering)","Base 2015=100","77.090994821"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2013","Residential building","Base 2015=100","64.753272879"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2013","Non-residential building","Base 2015=100","87.815110292"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2013","Civil engineering","Base 2015=100","99.242414626"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2014","All building and construction","Base 2015=100","91.884960928"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2014","Building (excluding civil engineering)","Base 2015=100","86.778739969"
"Value of Production Index in Building and Construction (Seasonally Adjusted)","2014","Residential building","Base 2015=100","76.539204482"
