"Statistic Label","Year","Nace Rev 2 Activity","UNIT","VALUE"
"Employees - Total","2013","Construction (41 to 43)","Number","58059"
"Employees - Total","2014","Development of building projects (411)","Number","1683"
"Employees - Total","2014","Construction of residential and non-residential buildings (412)","Number","17568"
"Employees - Total","2014","Construction of roads and railways (421)","Number","2277"
"Employees - Total","2014","Construction of utility projects (422)","Number","2014"
"Employees - Total","2014","Construction of other civil engineering projects (429)","Number","1996"
"Employees - Total","2014","Demolition and site preparation (431)","Number","843"
"Employees - Total","2014","Electrical, plumbing and other construction installation activities (432)","Number","22455"
"Employees - Total","2014","Building completion and finishing (433)","Number","9517"
"Employees - Total","2014","Other specialised construction activities (439)","Number","8841"
"Employees - Total","2014","Construction (41 to 43)","Number","67194"
"Employees - Total","2015","Development of building projects (411)","Number","1511"
"Employees - Total","2015","Construction of residential and non-residential buildings (412)","Number","19668"
"Employees - Total","2015","Construction of roads and railways (421)","Number","2428"
"Employees - Total","2015","Construction of utility projects (422)","Number","2168"
"Employees - Total","2015","Construction of other civil engineering projects (429)","Number","2160"
"Employees - Total","2015","Demolition and site preparation (431)","Number","957"
"Employees - Total","2015","Electrical, plumbing and other construction installation activities (432)","Number","23555"
