"Statistic Label","Year","Persons Engaged","UNIT","VALUE"
"Persons Engaged - Total","2011","50 - 249","Number","6945"
"Persons Engaged - Total","2011","250 and over","Number","3847"
"Persons Engaged - Total","2012","0 - 9","Number","64789"
"Persons Engaged - Total","2012","10 - 49","Number","15038"
"Persons Engaged - Total","2012","50 - 249","Number","5840"
"Persons Engaged - Total","2012","250 and over","Number","3684"
"Persons Engaged - Total","2013","0 - 9","Number","63704"
"Persons Engaged - Total","2013","10 - 49","Number","16339"
"Persons Engaged - Total","2013","50 - 249","Number","6451"
"Persons Engaged - Total","2013","250 and over","Number","4628"
"Persons Engaged - Total","2014","0 - 9","Number","65893"
"Persons Engaged - Total","2014","10 - 49","Number","19069"
"Persons Engaged - Total","2014","50 - 249","Number","7327"
"Persons Engaged - Total","2014","250 and over","Number","7571"
"Persons Engaged - Total","2015","0 - 9","Number","71430"
"Persons Engaged - Total","2015","10 - 49","Number","22362"
"Persons Engaged - Total","2015","50 - 249","Number","8898"
"Persons Engaged - Total","2015","250 and over","Number","6030"
"Persons Engaged - Total","2016","0 - 9","Number","75535"
"Persons Engaged - Total","2016","10 - 49","Number","26722"
"Persons Engaged - Total","2016","50 - 249","Number","11301"
"Persons Engaged - Total","2016","250 and over","Number","6783"
"Persons Engaged - Total","2017","0 - 9","Number","83180"
"Persons Engaged - Total","2017","10 - 49","Number","31301"
"Persons Engaged - Total","2017","50 - 249","Number","13822"
"Persons Engaged - Total","2017","250 and over","Number","8936"
"Persons Engaged - Total","2018","0 - 9","Number","85502"
"Persons Engaged - Total","2018","10 - 49","Number","33247"
"Persons Engaged - Total","2018","50 - 249","Number","15183"
"Persons Engaged - Total","2018","250 and over","Number","10589"
"Persons Engaged - Total","2019","0 - 9","Number","90656"
"Persons Engaged - Total","2019","10 - 49","Number","37422"
"Persons Engaged - Total","2019","50 - 249","Number","17735"
"Persons Engaged - Total","2019","250 and over","Number","12414"
"Wages and Salaries - Manual Employees","2008","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual Employees","2008","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual Employees","2008","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual Employees","2008","250 and over","Euro Thousand",""
"Wages and Salaries - Manual Employees","2009","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual Employees","2009","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual Employees","2009","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual Employees","2009","250 and over","Euro Thousand",""
"Wages and Salaries - Manual Employees","2010","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual Employees","2010","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual Employees","2010","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual Employees","2010","250 and over","Euro Thousand",""
"Wages and Salaries - Manual Employees","2011","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual Employees","2011","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual Employees","2011","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual Employees","2011","250 and over","Euro Thousand",""
"Wages and Salaries - Manual Employees","2012","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual Employees","2012","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual Employees","2012","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual Employees","2012","250 and over","Euro Thousand",""
"Wages and Salaries - Manual Employees","2013","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual Employees","2013","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual Employees","2013","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual Employees","2013","250 and over","Euro Thousand",""
"Wages and Salaries - Manual Employees","2014","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual Employees","2014","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual Employees","2014","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual Employees","2014","250 and over","Euro Thousand",""
"Wages and Salaries - Manual Employees","2015","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual Employees","2015","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual Employees","2015","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual Employees","2015","250 and over","Euro Thousand",""
"Wages and Salaries - Manual Employees","2016","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual Employees","2016","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual Employees","2016","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual Employees","2016","250 and over","Euro Thousand",""
"Wages and Salaries - Manual Employees","2017","0 - 9","Euro Thousand",""
